x,y
145,213
147,214
146,370
144,371
143,381
141,383
137,427
135,430
135,436
133,438
127,456
125,457
125,461
121,466
119,476
117,477
115,485
113,486
113,489
108,498
102,516
100,517
100,520
97,523
95,530
93,531
90,541
88,542
88,546
86,546
86,550
84,550
84,554
82,556
82,565
80,565
65,558
62,558
59,555
64,544
66,531
68,529
68,522
70,520
72,500
74,498
74,489
76,486
76,477
78,472
78,466
80,463
80,456
82,453
82,445
84,444
84,437
86,435
86,429
88,428
88,423
90,423
90,419
92,418
92,414
100,397
102,383
104,382
108,338
108,271
110,266
112,245
116,233
121,225
