x,y
236,599
258,599
260,601
269,603
270,605
275,607
275,609
280,611
280,613
285,617
285,619
287,619
287,622
291,627
291,631
293,631
295,650
293,653
293,660
291,661
291,665
289,666
287,672
285,672
283,678
281,678
281,680
276,682
273,686
270,686
270,688
268,688
268,684
266,684
266,679
264,678
262,668
260,667
260,662
258,662
258,657
256,656
256,651
254,650
254,646
252,644
252,640
250,639
250,635
248,634
248,632
246,632
246,636
244,637
244,641
242,642
242,646
240,647
240,652
238,653
238,657
236,658
236,662
234,664
234,668
232,669
232,674
230,674
230,680
228,680
226,688
218,682
216,682
216,680
214,680
211,674
209,674
209,672
207,671
207,668
205,668
205,664
203,664
203,659
201,658
201,634
203,633
205,623
207,623
209,617
211,617
211,615
213,615
213,613
217,609
219,609
219,607
222,607
222,605
225,605
230,601
235,601
